ingredient,amt,unit
beefless_ground_beef,1,pkg
olive_oil,3,tbs
cumin_seeds,1,tsp
onion,1,lg
green_chillies,3,sm
minced_garlic,2,tsp
ginger_paste,2,tsp
tomato_paste,1,4oz
turmeric,1,tsp
garam_masala,1,tsp
keema_spice_mix,1,tbs
peas,1,cup
roti,18,pcs
