ingredient,amt,unit
olive_oil,3,tbs
cumin_seeds,1,tsp
onion,1,lg
minced_garlic,2,tsp
ginger_paste,2,tsp
canned_tomatoes,1,14oz
turmeric,1,tsp
garam_masala,1,tsp
channa_masala_powder,1,tbs
salt,1,tsp
pepper,1,tsp
red_chili_powder,0.5,tsp
lemon_juice,1,tbs
chickpeas,2,14oz
green_chillies,3,sm
cilantro,0.25,c
brown_rice_dry,1.5,c
